"id","problem_id","subject_id","start","stop","time_left","answer"
"1","156","29","1304095119","1304095169","2343","B"
"2","269","25","1304095119","1304095183","2329","C"
"3","34","22","1304095127","1304095146","2366","C"
"4","19","23","1304095127","1304095150","2362","D"
"5","605","26","1304095127","1304095167","2345","A"
"6","384","27","1304095131","1304095270","2242","C"
"7","538","28","1304095133","1304095201","2311","C"
"8","312","24","1304095134","1304095198","2314","D"
"9","327","22","1304095151","1304095184","2328","E"
"10","194","23","1304095152","1304095175","2337","A"
"11","409","29","1304095171","1304095202","2310","B"
"12","566","23","1304095177","1304095375","2137","D"
"13","490","26","1304095179","1304095264","2248","C"
"14","270","25","1304095184","1304095224","2288","C"
"15","234","29","1304095204","1304095325","2187","A"
"16","183","24","1304095205","1304095230","2282","A"
"17","426","28","1304095205","1304095222","2290","A"
"18","456","22","1304095212","1304095276","2236","C"
"19","207","28","1304095226","1304095272","2240","C"
"20","418","25","1304095226","1304095246","2266","D"
"21","214","24","1304095233","1304095293","2219","D"
"22","262","25","1304095251","1304095339","2173","A"
"23","493","27","1304095278","1304095403","2109","E"
"24","8","24","1304095302","1304095389","2123","B"
"25","40","29","1304095326","1304095357","2155","C"
"26","427","28","1304095340","1304095419","2093","B"
"27","428","29","1304095358","1304095384","2128","D"
"28","348","23","1304095377","1304095638","1874","C"
"29","119","25","1304095388","1304095481","2031","A"
"30","145","29","1304095389","1304095453","2059","D"
"31","472","27","1304095412","1304095477","2035","A"
"32","6","24","1304095468","1304095517","1995","E"
"33","196","28","1304095477","1304095498","2014","C"
"34","488","22","1304095478","1304095512","2000","E"
"35","69","27","1304095486","1304095608","1904","C"
"36","398","25","1304095490","1304095560","1952","B"
"37","421","28","1304095500","1304095513","1999","B"
"38","544","28","1304095570","1304095601","1911","C"
"39","473","25","1304095585","1304095603","1909","A"
"40","177","28","1304095609","1304095628","1884","A"
"41","443","26","1304095613","1304095637","1875","D"
"42","89","27","1304095617","1304095653","1859","E"
"43","134","28","1304095630","1304095662","1850","D"
"44","485","23","1304095640","1304095672","1840","C"
"45","186","26","1304095641","1304095657","1855","B"
"46","232","25","1304095647","1304095724","1788","A"
"47","323","24","1304095658","1304095737","1775","A"
"48","382","26","1304095659","1304095925","1587","D"
"49","58","28","1304095664","1304095673","1839","E"
"50","319","27","1304095665","1304095686","1826","D"
"51","128","23","1304095674","1304095717","1795","B"
"52","303","28","1304095675","1304095822","1690","B"
"53","112","29","1304095695","1304095754","1758","C"
"54","174","22","1304095718","1304095874","1638","D"
"55","452","23","1304095718","1304095734","1778","C"
"56","534","23","1304095736","1304095793","1719","C"
"57","173","29","1304095756","1304095789","1723","C"
"58","93","25","1304095769","1304095832","1680","B"
"59","113","29","1304095791","1304095902","1610","E"
"60","86","23","1304095795","1304095838","1674","B"
"61","213","24","1304095795","1304095834","1678","A"
"62","239","25","1304095835","1304095873","1639","B"
"63","41","23","1304095840","1304095906","1606","E"
"64","496","25","1304095880","1304095958","1554","D"
"65","474","22","1304095881","1304095923","1589","A"
"66","478","23","1304095907","1304095943","1569","C"
"67","139","29","1304095907","1304095949","1563","B"
"68","218","22","1304095930","1304095974","1538","E"
"69","271","23","1304095950","1304096266","1246","D"
"70","256","29","1304095958","1304095993","1519","A"
"71","525","22","1304095982","1304096078","1434","C"
"72","252","29","1304095996","1304096053","1459","E"
"73","105","27","1304096007","1304096156","1356","D"
"74","217","24","1304096020","1304096142","1370","C"
"75","365","28","1304096033","1304096063","1449","A"
"76","223","25","1304096058","1304096109","1403","B"
"77","154","29","1304096062","1304096123","1389","D"
"78","292","28","1304096065","1304096087","1425","B"
"79","557","28","1304096089","1304096190","1322","C"
"80","552","26","1304096122","1304096176","1336","D"
"81","564","25","1304096145","1304096199","1313","C"
"82","588","24","1304096151","1304096220","1292","A"
"83","137","27","1304096162","1304096608","904","E"
"84","181","26","1304096180","1304096199","1313","D"
"85","527","26","1304096201","1304096284","1228","D"
"86","298","25","1304096207","1304096278","1234","A"
"87","65","24","1304096225","1304096297","1215","C"
"88","570","23","1304096271","1304096451","1061","A"
"89","359","29","1304096272","1304096319","1193","A"
"90","424","28","1304096275","1304096288","1224","D"
"91","293","26","1304096291","1304096376","1136","A"
"92","38","28","1304096291","1304096309","1203","A"
"93","389","24","1304096302","1304096424","1088","D"
"94","558","28","1304096311","1304096361","1151","E"
"95","296","22","1304096348","1304096390","1122","D"
"96","505","28","1304096364","1304096381","1131","B"
"97","420","25","1304096367","1304096400","1112","E"
"98","110","29","1304096377","1304096407","1105","C"
"99","585","26","1304096380","1304096421","1091","B"
"100","429","28","1304096382","1304096395","1117","C"
"101","480","28","1304096397","1304096427","1085","C"
"102","501","22","1304096402","1304096455","1057","E"
"103","237","25","1304096405","1304096480","1032","B"
"104","550","29","1304096409","1304096509","1003","B"
"105","532","28","1304096431","1304096570","942","E"
"106","486","23","1304096453","1304096510","1002","A"
"107","575","22","1304096458","1304096499","1013","E"
"108","203","26","1304096474","1304096602","910","A"
"109","206","24","1304096475","1304096512","1000","D"
"110","210","22","1304096501","1304096532","980","B"
"111","278","23","1304096513","1304096561","951","E"
"112","374","24","1304096519","1304096594","918","A"
"113","568","23","1304096563","1304096640","872","E"
"114","16","29","1304096586","1304096610","902","A"
"115","190","24","1304096600","1304096636","876","C"
"116","412","28","1304096602","1304096620","892","A"
"117","57","22","1304096607","1304096622","890","B"
"118","567","28","1304096622","1304096719","793","D"
"119","60","22","1304096628","1304096899","613","A"
"120","530","24","1304096637","1304096651","861","D"
"121","108","23","1304096642","1304096728","784","B"
"122","24","24","1304096653","1304096699","813","D"
"123","246","29","1304096667","1304096684","828","D"
"124","32","25","1304096683","1304096703","809","B"
"125","222","25","1304096705","1304096733","779","B"
"126","549","29","1304096709","1304096759","753","C"
"127","328","23","1304096729","1304096740","772","B"
"128","590","25","1304096734","1304096769","743","D"
"129","335","23","1304096741","1304096762","750","B"
"130","313","28","1304096745","1304096787","725","A"
"131","447","24","1304096756","1304096818","694","B"
"132","310","29","1304096760","1304096779","733","D"
"133","321","23","1304096764","1304096805","707","D"
"134","553","25","1304096776","1304096846","666","C"
"135","56","29","1304096780","1304096808","704","E"
"136","337","23","1304096807","1304096855","657","B"
"137","170","29","1304096809","1304096847","665","C"
"138","148","24","1304096820","1304096975","537","C"
"139","236","23","1304096856","1304096919","593","A"
"140","522","22","1304096905","1304096960","552","D"
"141","402","29","1304096916","1304096940","572","C"
"142","167","23","1304096920","1304096963","549","A"
"143","561","29","1304096945","1304097002","510","B"
"144","306","25","1304096953","1304096965","547","E"
"145","282","23","1304096964","1304097165","347","B"
"146","52","25","1304096970","1304096981","531","C"
"147","455","22","1304096982","1304097028","484","B"
"148","250","25","1304096985","1304097039","473","C"
"149","322","24","1304096985","1304097048","464","A"
"150","61","29","1304097006","1304097028","484","B"
"151","29","28","1304097010","1304097042","470","C"
"152","441","29","1304097029","1304097046","466","B"
"153","362","22","1304097031","1304097075","437","C"
"154","469","28","1304097044","1304097089","423","B"
"155","165","29","1304097048","1304097091","421","A"
"156","470","24","1304097050","1304097092","420","B"
"157","13","22","1304097077","1304097139","373","D"
"158","78","29","1304097093","1304097122","390","D"
"159","5","24","1304097097","1304097170","342","A"
"160","332","25","1304097109","1304097122","390","B"
"161","339","26","1304097119","1304097144","368","B"
"162","435","29","1304097124","1304097139","373","A"
"163","529","25","1304097124","1304097147","365","A"
"164","410","28","1304097131","1304097165","347","B"
"165","305","29","1304097142","1304097189","323","B"
"166","307","26","1304097146","1304097181","331","B"
"167","290","25","1304097151","1304097180","332","C"
"168","405","23","1304097167","1304097252","260","A"
"169","370","28","1304097168","1304097211","301","A"
"170","299","24","1304097179","1304097274","238","C"
"171","283","26","1304097183","1304097213","299","A"
"172","342","29","1304097193","1304097220","292","D"
"173","324","25","1304097198","1304097222","290","A"
"174","379","27","1304097202","","",""
"175","600","26","1304097214","1304097239","273","E"
"176","151","29","1304097222","1304097289","223","C"
"177","422","25","1304097224","1304097239","273","D"
"178","563","28","1304097248","1304097314","198","E"
"179","451","23","1304097255","1304097287","225","D"
"180","135","22","1304097268","1304097322","190","D"
"181","425","24","1304097282","1304097341","171","A"
"182","519","23","1304097288","1304097347","165","B"
"183","458","29","1304097291","1304097322","190","D"
"184","76","26","1304097292","1304097348","164","D"
"185","14","25","1304097310","1304097318","194","B"
"186","149","25","1304097322","1304097353","159","C"
"187","336","24","1304097343","1304097378","134","B"
"188","245","23","1304097348","1304097465","47","D"
"189","73","26","1304097350","1304097404","108","E"
"190","297","25","1304097354","1304097376","136","B"
"191","542","29","1304097359","1304097376","136","A"
"192","308","25","1304097378","1304097407","105","A"
"193","510","29","1304097378","1304097395","117","E"
"194","254","24","1304097380","1304097425","87","A"
"195","111","29","1304097396","1304097436","76","D"
"196","562","25","1304097409","1304097426","86","B"
"197","582","25","1304097428","1304097495","17","B"
"198","376","24","1304097430","","",""
"199","439","28","1304097432","1304097471","41","C"
"200","100","26","1304097436","1304097472","40","A"
"201","230","29","1304097438","1304097470","42","C"
"202","160","23","1304097467","","",""
"203","533","29","1304097472","","",""
"204","288","25","1304097500","","",""
"205","125","22","1304097504","","",""
